[2025-11-24 19:45:49.745] [INFO] 相机同步: Distance 被外部修改为 138.55
[2025-11-24 19:45:49.751] [INFO] 相机同步: Distance 被外部修改为 136.50
[2025-11-24 19:45:49.757] [INFO] 相机同步: Distance 被外部修改为 134.57
[2025-11-24 19:45:49.764] [INFO] 相机同步: Distance 被外部修改为 131.94
[2025-11-24 19:45:49.769] [INFO] 相机同步: Distance 被外部修改为 129.14
[2025-11-24 19:45:49.775] [INFO] 相机同步: Distance 被外部修改为 126.95
[2025-11-24 19:45:49.781] [INFO] 相机同步: Distance 被外部修改为 124.77
[2025-11-24 19:45:49.787] [INFO] 相机同步: Distance 被外部修改为 122.60
[2025-11-24 19:45:49.794] [INFO] 相机同步: Distance 被外部修改为 120.48
[2025-11-24 19:45:49.800] [INFO] 相机同步: Distance 被外部修改为 118.39
[2025-11-24 19:45:49.806] [INFO] 相机同步: Distance 被外部修改为 115.82
[2025-11-24 19:45:49.812] [INFO] 相机同步: Distance 被外部修改为 113.39
[2025-11-24 19:45:49.818] [INFO] 相机同步: Distance 被外部修改为 110.98
[2025-11-24 19:45:49.824] [INFO] 相机同步: Distance 被外部修改为 108.61
[2025-11-24 19:45:49.830] [INFO] 相机同步: Distance 被外部修改为 106.50
[2025-11-24 19:45:49.836] [INFO] 相机同步: Distance 被外部修改为 104.48
[2025-11-24 19:45:49.842] [INFO] 相机同步: Distance 被外部修改为 102.34
[2025-11-24 19:45:49.848] [INFO] 相机同步: Distance 被外部修改为 100.58
[2025-11-24 19:45:49.860] [INFO] 相机同步: Distance 被外部修改为 98.90
[2025-11-24 19:45:49.866] [INFO] 相机同步: Distance 被外部修改为 95.15
[2025-11-24 19:45:49.872] [INFO] 相机同步: Distance 被外部修改为 93.60
[2025-11-24 19:45:49.885] [INFO] 相机同步: Distance 被外部修改为 92.04
[2025-11-24 19:45:49.891] [INFO] 相机同步: Distance 被外部修改为 88.97
[2025-11-24 19:45:49.896] [INFO] 相机同步: Distance 被外部修改为 87.58
[2025-11-24 19:45:49.902] [INFO] 相机同步: Distance 被外部修改为 86.36
[2025-11-24 19:45:49.909] [INFO] 相机同步: Distance 被外部修改为 85.14
[2025-11-24 19:45:49.915] [INFO] 相机同步: Distance 被外部修改为 83.76
[2025-11-24 19:45:49.921] [INFO] 相机同步: Distance 被外部修改为 82.60
[2025-11-24 19:45:49.927] [INFO] 相机同步: Distance 被外部修改为 81.42
[2025-11-24 19:45:49.935] [INFO] 相机同步: Distance 被外部修改为 80.34
[2025-11-24 19:45:49.944] [INFO] 相机同步: Distance 被外部修改为 78.82
[2025-11-24 19:45:49.952] [INFO] 相机同步: Distance 被外部修改为 77.25
[2025-11-24 19:45:49.963] [INFO] 相机同步: Distance 被外部修改为 75.97
[2025-11-24 19:45:49.975] [INFO] 相机同步: Distance 被外部修改为 74.27
[2025-11-24 19:45:49.981] [INFO] 相机同步: Distance 被外部修改为 72.43
[2025-11-24 19:45:49.994] [INFO] 相机同步: Distance 被外部修改为 71.73
[2025-11-24 19:45:50.000] [INFO] 相机同步: Distance 被外部修改为 70.17
[2025-11-24 19:45:50.007] [INFO] 相机同步: Distance 被外部修改为 69.36
[2025-11-24 19:45:50.018] [INFO] 相机同步: Distance 被外部修改为 68.60
[2025-11-24 19:45:50.025] [INFO] 相机同步: Distance 被外部修改为 67.32
[2025-11-24 19:45:50.036] [INFO] 相机同步: Distance 被外部修改为 66.58
[2025-11-24 19:45:50.048] [INFO] 相机同步: Distance 被外部修改为 65.40
[2025-11-24 19:45:50.060] [INFO] 相机同步: Distance 被外部修改为 64.21
[2025-11-24 19:45:50.066] [INFO] 相机同步: Distance 被外部修改为 63.11
[2025-11-24 19:45:50.074] [INFO] 相机同步: Distance 被外部修改为 62.58
[2025-11-24 19:45:50.083] [INFO] 相机同步: Distance 被外部修改为 61.95
[2025-11-24 19:45:50.093] [INFO] 相机同步: Distance 被外部修改为 61.16
[2025-11-24 19:45:50.103] [INFO] 相机同步: Distance 被外部修改为 60.43
[2025-11-24 19:45:50.114] [INFO] 相机同步: Distance 被外部修改为 59.55
[2025-11-24 19:45:50.127] [INFO] 相机同步: Distance 被外部修改为 58.92
[2025-11-24 19:45:50.139] [INFO] 相机同步: Distance 被外部修改为 58.01
[2025-11-24 19:45:50.145] [INFO] 相机同步: Distance 被外部修改为 57.31
[2025-11-24 19:45:50.151] [INFO] 相机同步: Distance 被外部修改为 56.96
[2025-11-24 19:45:50.163] [INFO] 相机同步: Distance 被外部修改为 56.60
[2025-11-24 19:45:50.176] [INFO] 相机同步: Distance 被外部修改为 55.94
[2025-11-24 19:45:50.182] [INFO] 相机同步: Distance 被外部修改为 55.27
[2025-11-24 19:45:50.187] [INFO] 相机同步: Distance 被外部修改为 54.96
[2025-11-24 19:45:50.200] [INFO] 相机同步: Distance 被外部修改为 54.68
[2025-11-24 19:45:50.206] [INFO] 相机同步: Distance 被外部修改为 54.12
[2025-11-24 19:45:50.236] [INFO] 鼠标按下: Button=Left, Target=<0, 0, 0>, Yaw=-45.0°, Pitch=-25.0°, Distance=54.12
[2025-11-24 19:45:50.243] [INFO] 相机同步: Distance 被外部修改为 52.64
[2025-11-24 19:45:50.255] [INFO] 相机同步: Distance 被外部修改为 52.49
[2025-11-24 19:45:50.264] [INFO] 相机同步: Distance 被外部修改为 52.06
[2025-11-24 19:45:50.273] [INFO] 相机同步: Distance 被外部修改为 51.74
[2025-11-24 19:45:50.279] [INFO] 相机同步: Distance 被外部修改为 51.40
[2025-11-24 19:45:50.292] [INFO] 相机同步: Distance 被外部修改为 51.24
[2025-11-24 19:45:50.298] [INFO] 相机同步: Distance 被外部修改为 50.84
[2025-11-24 19:45:50.311] [INFO] 相机同步: Distance 被外部修改为 50.67
[2025-11-24 19:45:50.317] [INFO] 相机同步: Distance 被外部修改为 50.27
[2025-11-24 19:45:51.044] [INFO] 相机同步: Distance 被外部修改为 50.16
[2025-11-24 19:45:51.058] [INFO] 鼠标释放: Button=Left, Target=<0, 0, 0>, Distance=50.16, CameraPos=-11.273775100708008,-39.74631881713867,28.377792358398438
[2025-11-24 19:45:51.122] [INFO] 相机同步: Distance 被外部修改为 50.05
[2025-11-24 19:45:51.197] [INFO] 相机同步: Distance 被外部修改为 49.95
[2025-11-24 19:45:51.291] [INFO] 相机同步: Distance 被外部修改为 49.85
[2025-11-24 19:45:51.330] [INFO] 鼠标按下: Button=Left, Target=<0, 0, 0>, Yaw=-68.3°, Pitch=52.5°, Distance=49.85
[2025-11-24 19:45:51.877] [INFO] 鼠标释放: Button=Left, Target=<0, 0, 0>, Distance=49.85, CameraPos=1.209526777267456,-49.382835388183594,6.655594825744629
[2025-11-24 19:45:52.080] [INFO] 相机同步: Distance 被外部修改为 50.37
[2025-11-24 19:45:52.090] [INFO] 相机同步: Distance 被外部修改为 51.12
[2025-11-24 19:45:52.097] [INFO] 相机同步: Distance 被外部修改为 51.92
[2025-11-24 19:45:52.108] [INFO] 相机同步: Distance 被外部修改为 52.51
[2025-11-24 19:45:52.115] [INFO] 相机同步: Distance 被外部修改为 53.97
[2025-11-24 19:45:52.128] [INFO] 相机同步: Distance 被外部修改为 54.82
[2025-11-24 19:45:52.132] [INFO] 相机同步: Distance 被外部修改为 56.39
[2025-11-24 19:45:52.144] [INFO] 相机同步: Distance 被外部修改为 56.89
[2025-11-24 19:45:52.151] [INFO] 相机同步: Distance 被外部修改为 59.10
[2025-11-24 19:45:52.157] [INFO] 相机同步: Distance 被外部修改为 60.06
[2025-11-24 19:45:52.163] [INFO] 相机同步: Distance 被外部修改为 61.08
[2025-11-24 19:45:52.169] [INFO] 相机同步: Distance 被外部修改为 62.09
[2025-11-24 19:45:52.181] [INFO] 相机同步: Distance 被外部修改为 63.09
[2025-11-24 19:45:52.187] [INFO] 相机同步: Distance 被外部修改为 66.05
[2025-11-24 19:45:52.193] [INFO] 相机同步: Distance 被外部修改为 67.31
[2025-11-24 19:45:52.199] [INFO] 相机同步: Distance 被外部修改为 68.68
[2025-11-24 19:45:52.205] [INFO] 相机同步: Distance 被外部修改为 70.01
[2025-11-24 19:45:52.212] [INFO] 相机同步: Distance 被外部修改为 71.30
[2025-11-24 19:45:52.223] [INFO] 相机同步: Distance 被外部修改为 72.82
[2025-11-24 19:45:52.230] [INFO] 相机同步: Distance 被外部修改为 75.53
[2025-11-24 19:45:52.236] [INFO] 相机同步: Distance 被外部修改为 77.31
[2025-11-24 19:45:52.242] [INFO] 相机同步: Distance 被外部修改为 78.99
[2025-11-24 19:45:52.248] [INFO] 相机同步: Distance 被外部修改为 80.74
[2025-11-24 19:45:52.254] [INFO] 相机同步: Distance 被外部修改为 82.67
[2025-11-24 19:45:52.260] [INFO] 相机同步: Distance 被外部修改为 84.23
[2025-11-24 19:45:52.266] [INFO] 相机同步: Distance 被外部修改为 86.03
[2025-11-24 19:45:52.272] [INFO] 相机同步: Distance 被外部修改为 87.77
[2025-11-24 19:45:52.278] [INFO] 相机同步: Distance 被外部修改为 89.58
[2025-11-24 19:45:52.284] [INFO] 相机同步: Distance 被外部修改为 91.33
[2025-11-24 19:45:52.290] [INFO] 相机同步: Distance 被外部修改为 92.98
[2025-11-24 19:45:52.296] [INFO] 相机同步: Distance 被外部修改为 94.75
[2025-11-24 19:45:52.302] [INFO] 相机同步: Distance 被外部修改为 96.43
[2025-11-24 19:45:52.308] [INFO] 相机同步: Distance 被外部修改为 98.19
[2025-11-24 19:45:52.315] [INFO] 相机同步: Distance 被外部修改为 99.88
[2025-11-24 19:45:52.321] [INFO] 相机同步: Distance 被外部修改为 101.73
[2025-11-24 19:45:52.326] [INFO] 相机同步: Distance 被外部修改为 103.35
[2025-11-24 19:45:52.333] [INFO] 相机同步: Distance 被外部修改为 104.99
[2025-11-24 19:45:52.339] [INFO] 相机同步: Distance 被外部修改为 106.70
[2025-11-24 19:45:52.345] [INFO] 相机同步: Distance 被外部修改为 108.32
[2025-11-24 19:45:52.351] [INFO] 相机同步: Distance 被外部修改为 110.08
[2025-11-24 19:45:52.357] [INFO] 相机同步: Distance 被外部修改为 111.72
[2025-11-24 19:45:52.363] [INFO] 相机同步: Distance 被外部修改为 113.21
[2025-11-24 19:45:52.369] [INFO] 相机同步: Distance 被外部修改为 114.97
[2025-11-24 19:45:52.376] [INFO] 相机同步: Distance 被外部修改为 116.49
[2025-11-24 19:45:52.381] [INFO] 相机同步: Distance 被外部修改为 118.27
[2025-11-24 19:45:52.387] [INFO] 相机同步: Distance 被外部修改为 119.70
[2025-11-24 19:45:52.393] [INFO] 相机同步: Distance 被外部修改为 121.20
